,cod,descr
0,1,Taxa de câmbio - Livre - Dólar americano (venda) - diário
1,3,Taxa de câmbio - Flutuante - Dólar turismo - Venda
2,5,Ouro Londres - onça troy
3,7,Bovespa - índice
4,8,Bovespa - Volume
5,9,BVRJ - índice
6,10,BVRJ - Volume
7,11,Taxa de juros - Selic
8,12,Taxa de juros - CDI
9,13,Unidade real de valor (URV)
10,14,Depósitos a prazo (CDB/RDB-pré-fixados) - Rentabilidade diária (%)
11,15,Depósitos a prazo (CDB/RDB-pré-fixados) - Saldos
12,16,Depósitos a prazo (CDB/RDB-pré-fixados) - Dias corridos em período de 30/35 dias
13,17,Depósitos a prazo (CDB/RDB-pré-fixados) - Dias úteis em período de 30/35 dias
14,18,Depósitos a prazo (CDB/RDB-pós-fixados) - Rentabilidade diária (%)
15,19,Depósitos a prazo (CDB/RDB-pós-fixados) - Saldos
16,20,Depósitos a prazo (CDB/RDB-pós-fixados) - Dias corridos em período de 120/125 dias
17,21,Depósitos a prazo (CDB/RDB-pós-fixados) - Dias úteis em período de 120/125 dias
18,22,BTN/UFIR diária
19,23,Poupança SBPE e rural - Saldos
20,24,Poupança SBPE e rural - Captação líquida
21,25,Depósitos de poupança até 03.05.2012 - Rentabilidade no período
22,26,Depósitos a prazo (CDB/RDB-pré-fixados) - Taxa das instituições financeiras
23,27,Depósitos a prazo (CDB/RDB-pré-fixados) - Saldos das instituições financeiras
24,28,Depósitos a prazo (CDB/RDB-pré-fixados) - Taxa para investidores institucionais
25,29,Depósitos a prazo (CDB/RDB-pré-fixados) - Saldos de investidores institucionais
26,30,Depósitos a prazo (CDB/RDB-pré-fixados) - Taxa para pessoas jurídicas
27,31,Depósitos a prazo (CDB/RDB-pré-fixados) - Saldos de pessoas jurídicas
28,32,Depósitos a prazo (CDB/RDB-pré-fixados) - Taxa para pessoas físicas (%)
29,33,Depósitos a prazo (CDB/RDB-pré-fixados) - Saldos de pessoas físicas
30,34,Depósitos a prazo (CDB/RDB-pós-fixados) - Taxa das instituições financeiras
31,35,Depósitos a prazo (CDB/RDB-pós-fixados) - Saldos das instituições financeiras
32,36,Depósitos a prazo (CDB/RDB-pós-fixados) - Taxa para investidores institucionais
33,37,Depósitos a prazo (CDB/RDB-pós-fixados) - Saldos de investidores institucionais
34,38,Depósitos a prazo (CDB/RDB-pós-fixados) - Taxa para pessoas jurídicas
35,39,Depósitos a prazo (CDB/RDB-pós-fixados) - Saldos de pessoas jurídicas
36,40,Depósitos a prazo (CDB/RDB-pós-fixados) - Taxa para pessoas físicas
37,41,Depósitos a prazo (CDB/RDB-pós-fixados) - Saldos de pessoas físicas
38,42,Fundo de aplicações financeiras - Patrimônio líquido
39,43,Fundo de aplicações financeiras - Captação líquida
40,44,Fundo de aplicações financeiras - Rentabilidade diária (%)
41,45,Fundo de comodities - Patrimônio líquido
42,46,Fundo de comodities - Captação líquida
43,47,Fundo de comodities - Rentabilidade diária (%)
44,48,Fundo mútuo de renda fixa - Patrimônio líquido
45,49,Fundo mútuo de renda fixa - Captação líquida
46,50,Fundo mútuo de renda fixa - Rentabilidade diária (%)
47,51,Fundo de ações-carteira livre - Patrimônio líquido
48,52,Fundo de ações-carteira livre - Captação líquida
49,53,Fundo de ações-carteira livre - Rentabilidade diária (%)
50,54,Fundo de ações-tradicional - Patrimônio líquido
51,55,Fundo de ações-tradicional - Captação líquida
52,56,Fundo de ações-tradicional - Rentabilidade diária (%)
53,57,Depósitos especiais remunerados - Saldos
54,58,Depósitos especiais remunerados - Resgates
55,59,Depósitos especiais remunerados - Rentabilidade diária (%)
56,60,Fundo de renda fixa-capital estrangeiro - Patrimônio líquido
57,61,Fundo de renda fixa-capital estrangeiro - Rentabilidade diária (%)
58,63,Operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Hot money - Taxa total
59,64,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Hot money
60,67,Operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Desconto de duplicatas - Taxa total
61,68,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Desconto de duplicatas
62,69,Operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Desconto de notas promissórias - Taxa total
63,70,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Desconto de notas promissórias
64,73,Operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Capital de giro - Taxa total
65,74,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Capital de giro
66,75,Operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Capital de giro - Taxa total
67,76,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Capital de giro
68,77,Operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Conta garantida - Taxa total
69,78,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Conta garantida
70,79,Operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Conta garantida - Taxa total
71,80,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Conta garantida
72,81,Operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Aquisição de bens - Pessoa jurídica - Taxa total
73,82,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Aquisição de bens - Pessoa jurídica
74,83,Operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Aquisição de bens - Pessoa jurídica - Taxa total
75,84,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Aquisição de bens - Pessoa jurídica
76,85,Operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Vendor - Taxa total
77,86,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Vendor
78,87,Operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Vendor - Taxa total
79,88,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Vendor
80,89,Operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Adiantamento sobre contrato de câmbio (ACC) - Taxa total
81,90,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Adiantamento sobre contrato de câmbio (ACC)
82,91,Operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Export notes - Taxa total
83,92,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Export notes
