cod,descr
1,Taxa de câmbio - Livre - Dólar americano (venda) - diário
3,Taxa de câmbio - Flutuante - Dólar turismo - Venda
5,Ouro Londres - onça troy
7,Bovespa - índice
8,Bovespa - Volume
9,BVRJ - índice
10,BVRJ - Volume
11,Taxa de juros - Selic
12,Taxa de juros - CDI
13,Unidade real de valor (URV)
14,Depósitos a prazo (CDB/RDB-pré-fixados) - Rentabilidade diária (%)
15,Depósitos a prazo (CDB/RDB-pré-fixados) - Saldos
16,Depósitos a prazo (CDB/RDB-pré-fixados) - Dias corridos em período de 30/35 dias
17,Depósitos a prazo (CDB/RDB-pré-fixados) - Dias úteis em período de 30/35 dias
18,Depósitos a prazo (CDB/RDB-pós-fixados) - Rentabilidade diária (%)
19,Depósitos a prazo (CDB/RDB-pós-fixados) - Saldos
20,Depósitos a prazo (CDB/RDB-pós-fixados) - Dias corridos em período de 120/125 dias
21,Depósitos a prazo (CDB/RDB-pós-fixados) - Dias úteis em período de 120/125 dias
22,BTN/UFIR diária
23,Poupança SBPE e rural - Saldos
24,Poupança SBPE e rural - Captação líquida
25,Depósitos de poupança até 03.05.2012 - Rentabilidade no período
26,Depósitos a prazo (CDB/RDB-pré-fixados) - Taxa das instituições financeiras
27,Depósitos a prazo (CDB/RDB-pré-fixados) - Saldos das instituições financeiras
28,Depósitos a prazo (CDB/RDB-pré-fixados) - Taxa para investidores institucionais
29,Depósitos a prazo (CDB/RDB-pré-fixados) - Saldos de investidores institucionais
30,Depósitos a prazo (CDB/RDB-pré-fixados) - Taxa para pessoas jurídicas
31,Depósitos a prazo (CDB/RDB-pré-fixados) - Saldos de pessoas jurídicas
32,Depósitos a prazo (CDB/RDB-pré-fixados) - Taxa para pessoas físicas (%)
33,Depósitos a prazo (CDB/RDB-pré-fixados) - Saldos de pessoas físicas
34,Depósitos a prazo (CDB/RDB-pós-fixados) - Taxa das instituições financeiras
35,Depósitos a prazo (CDB/RDB-pós-fixados) - Saldos das instituições financeiras
36,Depósitos a prazo (CDB/RDB-pós-fixados) - Taxa para investidores institucionais
37,Depósitos a prazo (CDB/RDB-pós-fixados) - Saldos de investidores institucionais
38,Depósitos a prazo (CDB/RDB-pós-fixados) - Taxa para pessoas jurídicas
39,Depósitos a prazo (CDB/RDB-pós-fixados) - Saldos de pessoas jurídicas
40,Depósitos a prazo (CDB/RDB-pós-fixados) - Taxa para pessoas físicas
41,Depósitos a prazo (CDB/RDB-pós-fixados) - Saldos de pessoas físicas
42,Fundo de aplicações financeiras - Patrimônio líquido
43,Fundo de aplicações financeiras - Captação líquida
44,Fundo de aplicações financeiras - Rentabilidade diária (%)
45,Fundo de comodities - Patrimônio líquido
46,Fundo de comodities - Captação líquida
47,Fundo de comodities - Rentabilidade diária (%)
48,Fundo mútuo de renda fixa - Patrimônio líquido
49,Fundo mútuo de renda fixa - Captação líquida
50,Fundo mútuo de renda fixa - Rentabilidade diária (%)
51,Fundo de ações-carteira livre - Patrimônio líquido
52,Fundo de ações-carteira livre - Captação líquida
53,Fundo de ações-carteira livre - Rentabilidade diária (%)
54,Fundo de ações-tradicional - Patrimônio líquido
55,Fundo de ações-tradicional - Captação líquida
56,Fundo de ações-tradicional - Rentabilidade diária (%)
57,Depósitos especiais remunerados - Saldos
58,Depósitos especiais remunerados - Resgates
59,Depósitos especiais remunerados - Rentabilidade diária (%)
60,Fundo de renda fixa-capital estrangeiro - Patrimônio líquido
61,Fundo de renda fixa-capital estrangeiro - Rentabilidade diária (%)
63,Operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Hot money - Taxa total
