,cod,descr,per,anoinicio,unidade
0,1,Taxa de câmbio - Livre - Dólar americano (venda) - diário,"""D""",1984,"""u.m.c./US$"""
1,3,Taxa de câmbio - Flutuante - Dólar turismo - Venda,"""D""",1993,"""u.m.c./US$"""
2,5,Ouro Londres - onça troy,"""D""",1989,"""US$"""
3,7,Bovespa - índice,"""D""",1989,"""Pontos"""
4,8,Bovespa - Volume,"""D""",1989,"""R$ (milhões)"""
5,9,BVRJ - índice,"""D""",1989,"""Pontos"""
6,10,BVRJ - Volume,"""D""",1989,"""u.m.c. (mil)"""
7,11,Taxa de juros - Selic,"""D""",1986,"""% a.d."""
8,12,Taxa de juros - CDI,"""D""",1986,"""% a.d."""
9,13,Unidade real de valor (URV),"""D""",1993,"""u.m.c."""
10,14,Depósitos a prazo (CDB/RDB-pré-fixados) - Rentabilidade diária (%),"""D""",1992,"""% a.d."""
11,15,Depósitos a prazo (CDB/RDB-pré-fixados) - Saldos,"""D""",1992,"""u.m.c. (mil)"""
12,16,Depósitos a prazo (CDB/RDB-pré-fixados) - Dias corridos em período de 30/35 dias,"""D""",1989,"""Dias"""
13,17,Depósitos a prazo (CDB/RDB-pré-fixados) - Dias úteis em período de 30/35 dias,"""D""",1989,"""Dias"""
14,18,Depósitos a prazo (CDB/RDB-pós-fixados) - Rentabilidade diária (%),"""D""",1992,"""% a.d."""
15,19,Depósitos a prazo (CDB/RDB-pós-fixados) - Saldos,"""D""",1992,"""u.m.c. (mil)"""
16,20,Depósitos a prazo (CDB/RDB-pós-fixados) - Dias corridos em período de 120/125 dias,"""D""",1989,"""Dias"""
17,21,Depósitos a prazo (CDB/RDB-pós-fixados) - Dias úteis em período de 120/125 dias,"""D""",1989,"""Dias"""
18,22,BTN/UFIR diária,"""D""",1989,"""A definir"""
19,23,Poupança SBPE e rural - Saldos,"""D""",1991,"""u.m.c. (mil)"""
20,24,Poupança SBPE e rural - Captação líquida,"""D""",1991,"""u.m.c. (mil)"""
21,25,Depósitos de poupança até 03.05.2012 - Rentabilidade no período,"""D""",1991,"""% a.m."""
22,26,Depósitos a prazo (CDB/RDB-pré-fixados) - Taxa das instituições financeiras,"""D""",1992,"""% a.d."""
23,27,Depósitos a prazo (CDB/RDB-pré-fixados) - Saldos das instituições financeiras,"""D""",1992,"""u.m.c. (mil)"""
24,28,Depósitos a prazo (CDB/RDB-pré-fixados) - Taxa para investidores institucionais,"""D""",1992,"""% a.d."""
25,29,Depósitos a prazo (CDB/RDB-pré-fixados) - Saldos de investidores institucionais,"""D""",1992,"""u.m.c. (mil)"""
26,30,Depósitos a prazo (CDB/RDB-pré-fixados) - Taxa para pessoas jurídicas,"""D""",1992,"""% a.d."""
27,31,Depósitos a prazo (CDB/RDB-pré-fixados) - Saldos de pessoas jurídicas,"""D""",1992,"""u.m.c. (mil)"""
28,32,Depósitos a prazo (CDB/RDB-pré-fixados) - Taxa para pessoas físicas (%),"""D""",1992,"""% a.d."""
29,33,Depósitos a prazo (CDB/RDB-pré-fixados) - Saldos de pessoas físicas,"""D""",1992,"""u.m.c. (mil)"""
30,34,Depósitos a prazo (CDB/RDB-pós-fixados) - Taxa das instituições financeiras,"""D""",1992,"""% a.d."""
31,35,Depósitos a prazo (CDB/RDB-pós-fixados) - Saldos das instituições financeiras,"""D""",1992,"""u.m.c. (mil)"""
32,36,Depósitos a prazo (CDB/RDB-pós-fixados) - Taxa para investidores institucionais,"""D""",1992,"""% a.d."""
33,37,Depósitos a prazo (CDB/RDB-pós-fixados) - Saldos de investidores institucionais,"""D""",1992,"""u.m.c. (mil)"""
34,38,Depósitos a prazo (CDB/RDB-pós-fixados) - Taxa para pessoas jurídicas,"""D""",1992,"""% a.d."""
35,39,Depósitos a prazo (CDB/RDB-pós-fixados) - Saldos de pessoas jurídicas,"""D""",1992,"""u.m.c. (mil)"""
36,40,Depósitos a prazo (CDB/RDB-pós-fixados) - Taxa para pessoas físicas,"""D""",1992,"""% a.d."""
37,41,Depósitos a prazo (CDB/RDB-pós-fixados) - Saldos de pessoas físicas,"""D""",1992,"""u.m.c. (mil)"""
38,42,Fundo de aplicações financeiras - Patrimônio líquido,"""D""",1991,"""u.m.c. (mil)"""
39,43,Fundo de aplicações financeiras - Captação líquida,"""D""",1991,"""u.m.c. (mil)"""
40,44,Fundo de aplicações financeiras - Rentabilidade diária (%),"""D""",1991,"""% a.d."""
41,45,Fundo de comodities - Patrimônio líquido,"""D""",1992,"""u.m.c. (mil)"""
42,46,Fundo de comodities - Captação líquida,"""D""",1992,"""u.m.c. (mil)"""
43,47,Fundo de comodities - Rentabilidade diária (%),"""D""",1992,"""% a.d."""
44,48,Fundo mútuo de renda fixa - Patrimônio líquido,"""D""",1991,"""u.m.c. (mil)"""
45,49,Fundo mútuo de renda fixa - Captação líquida,"""D""",1991,"""u.m.c. (mil)"""
46,50,Fundo mútuo de renda fixa - Rentabilidade diária (%),"""D""",1991,"""% a.d."""
47,51,Fundo de ações-carteira livre - Patrimônio líquido,"""D""",1993,"""u.m.c. (mil)"""
48,52,Fundo de ações-carteira livre - Captação líquida,"""D""",1993,"""u.m.c. (mil)"""
49,53,Fundo de ações-carteira livre - Rentabilidade diária (%),"""D""",1993,"""% a.d."""
50,54,Fundo de ações-tradicional - Patrimônio líquido,"""D""",1991,"""u.m.c. (mil)"""
51,55,Fundo de ações-tradicional - Captação líquida,"""D""",1991,"""u.m.c. (mil)"""
52,56,Fundo de ações-tradicional - Rentabilidade diária (%),"""D""",1991,"""% a.d."""
53,57,Depósitos especiais remunerados - Saldos,"""D""",1991,"""u.m.c. (mil)"""
54,58,Depósitos especiais remunerados - Resgates,"""D""",1991,"""u.m.c. (mil)"""
55,59,Depósitos especiais remunerados - Rentabilidade diária (%),"""D""",1991,"""% a.d."""
56,60,Fundo de renda fixa-capital estrangeiro - Patrimônio líquido,"""D""",1994,"""u.m.c. (mil)"""
57,61,Fundo de renda fixa-capital estrangeiro - Rentabilidade diária (%),"""D""",1994,"""% a.d."""
58,63,Operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Hot money - Taxa total,"""D""",1994,"""% a.d."""
59,64,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Hot money,"""D""",1993,"""u.m.c. (mil)"""
60,67,Operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Desconto de duplicatas - Taxa total,"""D""",1994,"""% a.d."""
61,68,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Desconto de duplicatas,"""D""",1993,"""u.m.c. (mil)"""
62,69,Operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Desconto de notas promissórias - Taxa total,"""D""",1994,"""% a.d."""
63,70,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Desconto de notas promissórias,"""D""",1993,"""u.m.c. (mil)"""
64,73,Operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Capital de giro - Taxa total,"""D""",1994,"""% a.d."""
65,74,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Capital de giro,"""D""",1993,"""u.m.c. (mil)"""
66,75,Operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Capital de giro - Taxa total,"""D""",1994,"""% a.d."""
67,76,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Capital de giro,"""D""",1993,"""u.m.c. (mil)"""
68,77,Operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Conta garantida - Taxa total,"""D""",1994,"""% a.d."""
69,78,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Conta garantida,"""D""",1993,"""u.m.c. (mil)"""
70,79,Operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Conta garantida - Taxa total,"""D""",1994,"""% a.d."""
71,80,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Conta garantida,"""D""",1993,"""u.m.c. (mil)"""
72,81,Operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Aquisição de bens - Pessoa jurídica - Taxa total,"""D""",1994,"""% a.d."""
73,82,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Aquisição de bens - Pessoa jurídica,"""D""",1993,"""u.m.c. (mil)"""
74,83,Operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Aquisição de bens - Pessoa jurídica - Taxa total,"""D""",1994,"""% a.d."""
75,84,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Aquisição de bens - Pessoa jurídica,"""D""",1993,"""u.m.c. (mil)"""
76,85,Operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Vendor - Taxa total,"""D""",1994,"""% a.d."""
77,86,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Vendor,"""D""",1993,"""u.m.c. (mil)"""
78,87,Operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Vendor - Taxa total,"""D""",1994,"""% a.d."""
79,88,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Vendor,"""D""",1993,"""u.m.c. (mil)"""
80,89,Operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Adiantamento sobre contrato de câmbio (ACC) - Taxa total,"""D""",1994,"""% a.d."""
