cod,descr,per,anoinicio,unidade
1,Taxa de câmbio - Livre - Dólar americano (venda) - diário,"""D""",1984,"""u.m.c./US$"""
3,Taxa de câmbio - Flutuante - Dólar turismo - Venda,"""D""",1993,"""u.m.c./US$"""
5,Ouro Londres - onça troy,"""D""",1989,"""US$"""
7,Bovespa - índice,"""D""",1989,"""Pontos"""
8,Bovespa - Volume,"""D""",1989,"""R$ (milhões)"""
9,BVRJ - índice,"""D""",1989,"""Pontos"""
10,BVRJ - Volume,"""D""",1989,"""u.m.c. (mil)"""
11,Taxa de juros - Selic,"""D""",1986,"""% a.d."""
12,Taxa de juros - CDI,"""D""",1986,"""% a.d."""
13,Unidade real de valor (URV),"""D""",1993,"""u.m.c."""
14,Depósitos a prazo (CDB/RDB-pré-fixados) - Rentabilidade diária (%),"""D""",1992,"""% a.d."""
15,Depósitos a prazo (CDB/RDB-pré-fixados) - Saldos,"""D""",1992,"""u.m.c. (mil)"""
16,Depósitos a prazo (CDB/RDB-pré-fixados) - Dias corridos em período de 30/35 dias,"""D""",1989,"""Dias"""
17,Depósitos a prazo (CDB/RDB-pré-fixados) - Dias úteis em período de 30/35 dias,"""D""",1989,"""Dias"""
18,Depósitos a prazo (CDB/RDB-pós-fixados) - Rentabilidade diária (%),"""D""",1992,"""% a.d."""
19,Depósitos a prazo (CDB/RDB-pós-fixados) - Saldos,"""D""",1992,"""u.m.c. (mil)"""
20,Depósitos a prazo (CDB/RDB-pós-fixados) - Dias corridos em período de 120/125 dias,"""D""",1989,"""Dias"""
21,Depósitos a prazo (CDB/RDB-pós-fixados) - Dias úteis em período de 120/125 dias,"""D""",1989,"""Dias"""
22,BTN/UFIR diária,"""D""",1989,"""A definir"""
23,Poupança SBPE e rural - Saldos,"""D""",1991,"""u.m.c. (mil)"""
24,Poupança SBPE e rural - Captação líquida,"""D""",1991,"""u.m.c. (mil)"""
25,Depósitos de poupança até 03.05.2012 - Rentabilidade no período,"""D""",1991,"""% a.m."""
26,Depósitos a prazo (CDB/RDB-pré-fixados) - Taxa das instituições financeiras,"""D""",1992,"""% a.d."""
27,Depósitos a prazo (CDB/RDB-pré-fixados) - Saldos das instituições financeiras,"""D""",1992,"""u.m.c. (mil)"""
28,Depósitos a prazo (CDB/RDB-pré-fixados) - Taxa para investidores institucionais,"""D""",1992,"""% a.d."""
29,Depósitos a prazo (CDB/RDB-pré-fixados) - Saldos de investidores institucionais,"""D""",1992,"""u.m.c. (mil)"""
30,Depósitos a prazo (CDB/RDB-pré-fixados) - Taxa para pessoas jurídicas,"""D""",1992,"""% a.d."""
31,Depósitos a prazo (CDB/RDB-pré-fixados) - Saldos de pessoas jurídicas,"""D""",1992,"""u.m.c. (mil)"""
32,Depósitos a prazo (CDB/RDB-pré-fixados) - Taxa para pessoas físicas (%),"""D""",1992,"""% a.d."""
33,Depósitos a prazo (CDB/RDB-pré-fixados) - Saldos de pessoas físicas,"""D""",1992,"""u.m.c. (mil)"""
34,Depósitos a prazo (CDB/RDB-pós-fixados) - Taxa das instituições financeiras,"""D""",1992,"""% a.d."""
35,Depósitos a prazo (CDB/RDB-pós-fixados) - Saldos das instituições financeiras,"""D""",1992,"""u.m.c. (mil)"""
36,Depósitos a prazo (CDB/RDB-pós-fixados) - Taxa para investidores institucionais,"""D""",1992,"""% a.d."""
37,Depósitos a prazo (CDB/RDB-pós-fixados) - Saldos de investidores institucionais,"""D""",1992,"""u.m.c. (mil)"""
38,Depósitos a prazo (CDB/RDB-pós-fixados) - Taxa para pessoas jurídicas,"""D""",1992,"""% a.d."""
39,Depósitos a prazo (CDB/RDB-pós-fixados) - Saldos de pessoas jurídicas,"""D""",1992,"""u.m.c. (mil)"""
40,Depósitos a prazo (CDB/RDB-pós-fixados) - Taxa para pessoas físicas,"""D""",1992,"""% a.d."""
41,Depósitos a prazo (CDB/RDB-pós-fixados) - Saldos de pessoas físicas,"""D""",1992,"""u.m.c. (mil)"""
42,Fundo de aplicações financeiras - Patrimônio líquido,"""D""",1991,"""u.m.c. (mil)"""
43,Fundo de aplicações financeiras - Captação líquida,"""D""",1991,"""u.m.c. (mil)"""
44,Fundo de aplicações financeiras - Rentabilidade diária (%),"""D""",1991,"""% a.d."""
45,Fundo de comodities - Patrimônio líquido,"""D""",1992,"""u.m.c. (mil)"""
46,Fundo de comodities - Captação líquida,"""D""",1992,"""u.m.c. (mil)"""
47,Fundo de comodities - Rentabilidade diária (%),"""D""",1992,"""% a.d."""
48,Fundo mútuo de renda fixa - Patrimônio líquido,"""D""",1991,"""u.m.c. (mil)"""
49,Fundo mútuo de renda fixa - Captação líquida,"""D""",1991,"""u.m.c. (mil)"""
50,Fundo mútuo de renda fixa - Rentabilidade diária (%),"""D""",1991,"""% a.d."""
51,Fundo de ações-carteira livre - Patrimônio líquido,"""D""",1993,"""u.m.c. (mil)"""
52,Fundo de ações-carteira livre - Captação líquida,"""D""",1993,"""u.m.c. (mil)"""
53,Fundo de ações-carteira livre - Rentabilidade diária (%),"""D""",1993,"""% a.d."""
54,Fundo de ações-tradicional - Patrimônio líquido,"""D""",1991,"""u.m.c. (mil)"""
55,Fundo de ações-tradicional - Captação líquida,"""D""",1991,"""u.m.c. (mil)"""
56,Fundo de ações-tradicional - Rentabilidade diária (%),"""D""",1991,"""% a.d."""
57,Depósitos especiais remunerados - Saldos,"""D""",1991,"""u.m.c. (mil)"""
58,Depósitos especiais remunerados - Resgates,"""D""",1991,"""u.m.c. (mil)"""
59,Depósitos especiais remunerados - Rentabilidade diária (%),"""D""",1991,"""% a.d."""
60,Fundo de renda fixa-capital estrangeiro - Patrimônio líquido,"""D""",1994,"""u.m.c. (mil)"""
61,Fundo de renda fixa-capital estrangeiro - Rentabilidade diária (%),"""D""",1994,"""% a.d."""
63,Operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Hot money - Taxa total,"""D""",1994,"""% a.d."""
64,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Hot money,"""D""",1993,"""u.m.c. (mil)"""
67,Operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Desconto de duplicatas - Taxa total,"""D""",1994,"""% a.d."""
68,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Desconto de duplicatas,"""D""",1993,"""u.m.c. (mil)"""
69,Operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Desconto de notas promissórias - Taxa total,"""D""",1994,"""% a.d."""
70,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Desconto de notas promissórias,"""D""",1993,"""u.m.c. (mil)"""
73,Operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Capital de giro - Taxa total,"""D""",1994,"""% a.d."""
74,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Capital de giro,"""D""",1993,"""u.m.c. (mil)"""
75,Operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Capital de giro - Taxa total,"""D""",1994,"""% a.d."""
76,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Capital de giro,"""D""",1993,"""u.m.c. (mil)"""
77,Operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Conta garantida - Taxa total,"""D""",1994,"""% a.d."""
78,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Conta garantida,"""D""",1993,"""u.m.c. (mil)"""
79,Operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Conta garantida - Taxa total,"""D""",1994,"""% a.d."""
80,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Conta garantida,"""D""",1993,"""u.m.c. (mil)"""
81,Operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Aquisição de bens - Pessoa jurídica - Taxa total,"""D""",1994,"""% a.d."""
82,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Aquisição de bens - Pessoa jurídica,"""D""",1993,"""u.m.c. (mil)"""
83,Operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Aquisição de bens - Pessoa jurídica - Taxa total,"""D""",1994,"""% a.d."""
84,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Aquisição de bens - Pessoa jurídica,"""D""",1993,"""u.m.c. (mil)"""
85,Operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Vendor - Taxa total,"""D""",1994,"""% a.d."""
86,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Vendor,"""D""",1993,"""u.m.c. (mil)"""
87,Operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Vendor - Taxa total,"""D""",1994,"""% a.d."""
88,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Vendor,"""D""",1993,"""u.m.c. (mil)"""
89,Operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Adiantamento sobre contrato de câmbio (ACC) - Taxa total,"""D""",1994,"""% a.d."""
90,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Adiantamento sobre contrato de câmbio (ACC),"""D""",1993,"""u.m.c. (mil)"""
91,Operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Export notes - Taxa total,"""D""",1994,"""% a.d."""
92,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Export notes,"""D""",1993,"""u.m.c. (mil)"""
93,Operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Repasses externos - Taxa total,"""D""",1994,"""% a.d."""
94,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Repasses externos,"""D""",1993,"""u.m.c. (mil)"""
95,Operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Cheque especial - Taxa total,"""D""",1994,"""% a.d."""
96,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Cheque especial,"""D""",1993,"""u.m.c. (mil)"""
97,Operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Cheque especial - Taxa total,"""D""",1994,"""% a.d."""
98,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Cheque especial,"""D""",1993,"""u.m.c. (mil)"""
99,Operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Crédito pessoal - Taxa total,"""D""",1994,"""% a.d."""
100,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Crédito pessoal,"""D""",1993,"""u.m.c. (mil)"""
101,Operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Crédito pessoal - Taxa total,"""D""",1994,"""% a.d."""
102,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Crédito pessoal,"""D""",1993,"""u.m.c. (mil)"""
103,Operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Aquisição de outros bens - Pessoa física - Taxa total,"""D""",1994,"""% a.d."""
104,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Aquisição de outros bens - Pessoa física,"""D""",1993,"""u.m.c. (mil)"""
105,Operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Aquisição de outros bens - Pessoa física - Taxa total,"""D""",1994,"""% a.d."""
106,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Aquisição de outros bens - Pessoa física,"""D""",1993,"""u.m.c. (mil)"""
108,BTN/UFIR mensal,"""M""",1989,"""u.m.c."""
109,Fundo de aplicações financeiras - Aplicações em depósitos obrigatórios,"""M""",1991,"""u.m.c. (mil)"""
110,Fundo de aplicações financeiras - Aplicações em depósitos inst. títulos TDE,"""M""",1991,"""u.m.c. (mil)"""
111,Fundo de aplicações financeiras - Aplicações em operações compromissadas,"""M""",1991,"""u.m.c. (mil)"""
112,Fundo de aplicações financeiras - Aplicações em quotas fundos desenvolvimento social,"""M""",1991,"""u.m.c. (mil)"""
113,Fundo de aplicações financeiras - Aplicações em títulos do Tesouro Nacional,"""M""",1991,"""u.m.c. (mil)"""
114,Fundo de aplicações financeiras - Aplicações em títulos estaduais ou municipais,"""M""",1991,"""u.m.c. (mil)"""
115,Fundo de aplicações financeiras - Aplicações em títulos privados,"""M""",1991,"""u.m.c. (mil)"""
116,Fundo de aplicações financeiras - Aplicações em títulos de desenvolvimento econômico,"""M""",1991,"""u.m.c. (mil)"""
117,Fundo de aplicações financeiras - Aplicações em títulos vinculados a projetos agrícolas,"""M""",1991,"""u.m.c. (mil)"""
118,Fundo de aplicações financeiras - Aplicações em letras hipotecárias,"""M""",1991,"""u.m.c. (mil)"""
119,Fundo de comodities - Aplicações em export notes,"""M""",1992,"""u.m.c. (mil)"""
120,Fundo de comodities - Aplicações em CDB/RDB,"""M""",1992,"""u.m.c. (mil)"""
121,Fundo de comodities - Aplicações em Warrants,"""M""",1992,"""u.m.c. (mil)"""
122,Fundo de comodities - Aplicações em certificados de mercadorias,"""M""",1992,"""u.m.c. (mil)"""
123,Fundo de comodities - Aplicações em títulos federais,"""M""",1992,"""u.m.c. (mil)"""
124,Fundo de comodities - Aplicações em títulos estaduais ou municipais,"""M""",1992,"""u.m.c. (mil)"""
125,Fundo de comodities - Aplicações em títulos privados,"""M""",1992,"""u.m.c. (mil)"""
126,Fundo de comodities - Aplicações em quotas FAF,"""M""",1992,"""u.m.c. (mil)"""
127,Fundo de comodities - Aplicações em notas promissórias,"""M""",1992,"""u.m.c. (mil)"""
128,Fundo de comodities - Aplicações em ações,"""M""",1992,"""u.m.c. (mil)"""
129,Fundo de comodities - Aplicações em ouro,"""M""",1992,"""u.m.c. (mil)"""
130,Fundo mútuo de renda fixa - Aplicações em títulos do Tesouro Nacional,"""M""",1993,"""u.m.c. (mil)"""
131,Fundo mútuo de renda fixa - Aplicações em títulos do Banco Central,"""M""",1993,"""u.m.c. (mil)"""
132,Fundo mútuo de renda fixa - Aplicações em títulos estaduais e municipais,"""M""",1993,"""u.m.c. (mil)"""
133,Fundo mútuo de renda fixa - Aplicações em ações,"""M""",1993,"""u.m.c. (mil)"""
134,Fundo mútuo de renda fixa - Aplicações em debêntures,"""M""",1993,"""u.m.c. (mil)"""
135,Fundo mútuo de renda fixa - Aplicações em títulos privados,"""M""",1993,"""u.m.c. (mil)"""
136,Fundo mútuo de renda fixa - Aplicações em juros do mercado futuro,"""M""",1993,"""u.m.c. (mil)"""
137,Fundo mútuo de renda fixa - Aplicações em quotas de fundos,"""M""",1993,"""u.m.c. (mil)"""
138,Fundo mútuo de renda fixa - Aplicações em operações compromissadas,"""M""",1993,"""u.m.c. (mil)"""
139,Fundo mútuo de renda fixa - Outras aplicações,"""M""",1993,"""u.m.c. (mil)"""
140,Fundo de ações-tradicional - Aplicações em títulos do Tesouro Nacional,"""M""",1993,"""u.m.c. (mil)"""
141,Fundo de ações-tradicional - Aplicações em títulos do Banco Central,"""M""",1993,"""u.m.c. (mil)"""
142,Fundo de ações-tradicional - Aplicações em títulos estaduais e municipais,"""M""",1993,"""u.m.c. (mil)"""
143,Fundo de ações-tradicional - Aplicações em índices de ações,"""M""",1993,"""u.m.c. (mil)"""
144,Fundo de ações-tradicional - Aplicações em ações,"""M""",1993,"""u.m.c. (mil)"""
145,Fundo de ações-tradicional - Aplicações em debêntures,"""M""",1993,"""u.m.c. (mil)"""
146,Fundo de ações-tradicional - Aplicações em títulos privados,"""M""",1993,"""u.m.c. (mil)"""
147,Fundo de ações-tradicional - Aplicações em quotas de fundos,"""M""",1993,"""u.m.c. (mil)"""
148,Fundo de ações-tradicional - Outras aplicações,"""M""",1993,"""u.m.c. (mil)"""
149,Fundo de ações-carteira livre - Aplicações em títulos do Tesouro Nacional,"""M""",1993,"""u.m.c. (mil)"""
150,Fundo de ações-carteira livre - Aplicações em títulos do Banco Central,"""M""",1993,"""u.m.c. (mil)"""
151,Fundo de ações-carteira livre - Aplicações em títulos estaduais e municipais,"""M""",1993,"""u.m.c. (mil)"""
152,Fundo de ações-carteira livre - Aplicações em índices de ações,"""M""",1993,"""u.m.c. (mil)"""
153,Fundo de ações-carteira livre - Aplicações em ações,"""M""",1993,"""u.m.c. (mil)"""
154,Fundo de ações-carteira livre - Aplicações em debêntures,"""M""",1993,"""u.m.c. (mil)"""
155,Fundo de ações-carteira livre - Aplicações em títulos privados,"""M""",1993,"""u.m.c. (mil)"""
156,Fundo de ações-carteira livre - Aplicações em quotas de fundos,"""M""",1993,"""u.m.c. (mil)"""
157,Fundo de ações-carteira livre - Outras aplicações,"""M""",1993,"""u.m.c. (mil)"""
158,Fundo de investimento-capital estrangeiro - Aplicações em títulos do Tesouro Nacional,"""M""",1993,"""u.m.c. (mil)"""
159,Fundo de investimento-capital estrangeiro - Aplicações em títulos do Banco Central,"""M""",1993,"""u.m.c. (mil)"""
